SECTION;AUTO/CV;CATEGORY;FOCUS;NEWS LINK;DATE;ADDITIONAL INFORMATION
News&Trends;Automotive;ACEA;China vs Europe;https://www.acea.auto/message-dg/can-europe-match-the-chinese-dragon/?utm_source=mailpoet&utm_medium=email&utm_campaign=can-europe-match-the-chinese-dragon-or-end-of-life-vehicles-or-greening-freight-transport-package-or-battery-regulation-or-cars-152-in-july-battery-electric-136percent-market-share-47764;01.09.2023;BEVs in the ASEAN region: The rise of Chinese OEMs - Just Auto (just-auto.com)
Customer;Automotive;Outlook;Toyota ;Connect (ihsmarkit.com);31.08.2023;
Customer;CV;Railway;Siemens Mobility;Siemens Mobility wins tender for framework contract for 540 trains for ÖBB | Press | Company | Siemens;31.08.2023;
News&Trends;Automotive;Registrations;ACEA;New car registrations: +15.2% in July, battery electric 13.6% market share (acea.auto);31.08.2023;
News&Trends;Automotive;German Automotive Industry;China;China: Partner and competitor in the automotive industry | VDA;31.08.2023;
News&Trends;Automotive;Autonomy;AI;Current AI won’t get vehicles to the next level of autonomous driving | Automotive World;31.08.2023;
News&Trends;Automotive;Electrification;Copper crunch;Copper crunch hits hard in EV push | Automotive World;31.08.2023;
Competitor&Partnership;Automotive;Strategy;Antolin;Antolin announces strategic collaboration with VIA optronics to develop innovative integrated display systems for vehicle interiors | Antolin;30.08.2023;VIA optronics AG Announces Strategic Collaboration with Antolin to Develop Innovative Integrated Display Systems for Vehicle Interiors | Business Wire
Customer;Automotive;Outlook;BYD;Connect (ihsmarkit.com);30.08.2023;
Customer;CV;Agriculture;John Deere;Deere raises 2023 outlook as sales rise 12% in Q3 | Equipment World;29.08.2023;
Customer;Automotive;Interior;Skoda;Enhancing space, comfort and control: Škoda presents interior highlights of the all-new Kodiaq and Superb generations - Škoda Storyboard (skoda-storyboard.com);29.08.2023;
Customer;Automotive;Launch;BMW ;The new BMW X5 Protection VR6. (bmwgroup.com);29.08.2023;
Customer;Automotive;Launch;Buick;SAIC GM officially launches new Buick Encore Plus sub-compact crossover SUV - MarkLines Automotive Industry Portal;29.08.2023;???Plus - ?????? (buick.com.cn)
Customer;Automotive;Strategy;Fisker;20230828_Fisker_Press_Release__New_Markets_Europe_Final.pdf (ctfassets.net);29.08.2023;
Customer;CV;Truck;Daimler Truck;Successful summer testing of the Mercedes-Benz eActros 600 in Spain - Daimler Truck Media Site;29.08.2023;
News&Trends;Automotive/CV;Economy;China;China economy may miss 5% growth amid property, consumption risks (cnbc.com);29.08.2023;
News&Trends;CV;Agriculture;Smart Farming;Agriculture 4.0 and the Rise of Smart Farming (aem.org);29.08.2023;
News&Trends;CV;Construction;Industry challenges;Canadian Construction Set To Grow Amid Industry Challenges (worldconstructiontoday.com);29.08.2023;
Competitor&Partnership;CV;Magazine;Assan Hanil;assanhanil-2023-is-te-ashaber-sayi-7-pdf.pdf;28.08.2023;
Customer;CV;Railway;Skoda ;Škoda Partners with TATA AutoComp to Target India's Rail Market | Railway-News;28.08.2023;
Competitor&Partnership;Automotive;Seating;Lear;Lear Wins 4 First-Place J.D. Power 2023 Awards, Leads in the Number of Top 3 Finishes | Lear Corporation;25.08.2023;
Competitor&Partnership;Automotive;Console;Preh;Post | Feed | LinkedIn;25.08.2023;(1) Preh Placeable Knob - YouTube
Competitor&Partnership;Automotive;Outlook;Uno Minda;uno-minda-ar_2022-23.pdf (unominda.com);25.08.2023;
Customer;CV;Construction;Komatsu;Komatsu sees strong demand in North America, sales up 18% in Q1 | Equipment World;25.08.2023;
News&Trends;Automotive/CV;Outlook;PMI;(1) New Messages! (spglobal.com);25.08.2023;
News&Trends;Automotive/CV;Outlook;Inflation;Global Recession Watch: The Latest Data | Bain & Company;25.08.2023;
News&Trends;CV;Construction;China;Why China’s construction equipment market won’t start to recover properly until 2025 - International Construction (international-construction.com);25.08.2023;
News&Trends;CV;Construction;Orders;A Closer Look Into US Construction Machinery New Orders | OEM Off-Highway (oemoffhighway.com);25.08.2023;
News&Trends;CV;Agriculture;Precision technology;More than 50% Use Precision Technology in Top Row-Crop States (farm-equipment.com);25.08.2023;
Competitor&Partnership;Automotive/CV;Exhibition;Continental;Continental at the IAA MOBILITY 2023: New Horsepower for the Mobility of the Future - Continental AG;24.08.2023;
Competitor&Partnership;Automotive;Report;Motherson;SAMIL-Annual-Report-2022-23.pdf (motherson.com);24.08.2023;
Customer;Automotive;AI;Toyota ;Toyota Research Institute develops new AI technique with potential to help speed up vehicle design - Toyota Media Site;24.08.2023;
Customer;Automotive;Exhibition;BMW ;The BMW Group at IAA Mobility 2023 in Munich.;24.08.2023;
Customer;CV;Truck/Bus;DAF;DAF announces New Generation DAF XB city distribution trucks - DAF Trucks N.V.;24.08.2023;
Customer;Automotive;Launch;Kia;THE 2024 KIA EV9: MODERN REFINEMENT AND ALL-ELECTRIC CAPABILITY (kiamedia.com);24.08.2023;
Customer;Automotive;Launch;Rolls Royce;Rolls-Royce showcases interior design capabilities with coach-built Droptail | Automotive Interiors World;24.08.2023;
Customer;CV;Material Handling;Jungheinrich;https://www.linkedin.com/posts/jungheinrich-ag_jungheinrich-%C3%BCbernimmt-den-m%C3%BCnchner-robotik-spezialisten-activity-7100088705331146752-s_12?utm_source=share&utm_medium=member_desktop;23.08.2023;
Customer;CV;Construction;Volvo CE;Volvo CE moving away from ‘linear’ business model - Construction Europe (construction-europe.com);23.08.2023;
Customer;CV;Sustainability;John Deere;Deere picks North Carolina for battery plant - Diesel Progress;23.08.2023;
News&Trends;CV;Truck/Bus;Outlook;Trucking industry forecasted to improve in 2023, 2024 - Diesel Progress;23.08.2023;
News&Trends;Automotive;Security;US;NHTSA Proposes Seat Belt Warning System Expansion | NHTSA;23.08.2023;
Customer;CV;Construction;Volvo CE;Volvo CE opens training hub in Pennsylvania - Equipment Journal;22.08.2023;
Customer;CV;Agriculture;John Deere;Deere Reports Third Quarter Net Income of $2.978 Billion;22.08.2023;2Q23 Earnings Call (q4cdn.com)
Customer;Automotive;iVision;BMW ;The BMW Group sustainability strategy rests on these six pillars.;22.08.2023;
News&Trends;CV;Supply chain;US;US Supply Chain Stress Continues to Ease | Material Handling and Logistics (mhlnews.com);22.08.2023;
News&Trends;CV;Construction;Germany;Why recession is looming over German construction industry - Construction Europe (construction-europe.com);22.08.2023;
Competitor&Partnership;Automotive;Award;Antolin;Post | LinkedIn;21.08.2023;
Competitor&Partnership;Automotive;Partnership;Motherson;Post | LinkedIn;21.08.2023;
Competitor&Partnership;Automotive;Exhibition;Magna;Magna set to present Car of the Future solutions at IAA Mobility 2023: Showing innovations for a better world of mobility | Automotive World;21.08.2023;
Customer;Automotive;Launch;Mercedes-Benz;Connect (ihsmarkit.com);21.08.2023;
Customer;Automotive;Outlook;Xpeng;Connect (ihsmarkit.com);21.08.2023;
Customer;Automotive;Hydrogen vehicle;BMW ;BMW enters next testing phase with iX5 Hydrogen vehicle | Automotive Powertrain Technology International;21.08.2023;
News&Trends;Automotive;BEV;Fuel Cell;As the BEV sector faces headwinds, should the passenger car sector revisit fuel cells? - Just Auto (just-auto.com);21.08.2023;
News&Trends;CV;Offroad;Outlook;AEM Ag and Construction Leaders Weigh in: Market Challenges Lie Ahead, But Optimism is Warranted;18.08.2023;
News&Trends;Automotive/CV;Outlook;Inflation;Connect (ihsmarkit.com);18.08.2023;
Competitor&Partnership;Automotive;Award;Faurecia;Post | LinkedIn;17.08.2023;
Competitor&Partnership;Automotive;Exhibition;Brose;Brose presents „The Excellence Inside” at IAA Mobility 2023;17.08.2023;
Customer;CV;Sustainability;John Deere;The Journey to 30: How John Deere Plans to Reduce Carbon Emissions by 30% by 2026 | For Construction Pros;17.08.2023;
Customer;Automotive;Strategy;Fisker;Fisker showcases all-EV line-up up to 2026 - Just Auto (just-auto.com);17.08.2023;
Customer;Automotive;Electrification;Stellantis;Fiat Panda-inspired low-cost EV is becoming concrete - electrive.com;17.08.2023;
Customer;CV;Agriculture;Claas;Claas releases nine new tractors | Industrial Vehicle Technology International (ivtinternational.com);17.08.2023;
Customer;Automotive;Sustainability;Honda;VIDEO: Honda recycles old uniforms to create insulating material for new vehicles | Automotive Interiors World;17.08.2023;
Customer;Automotive;Interior;Cadillac;Cadillac introduces the 2025 Escalade IQ with pillar-to-pillar display | Automotive Interiors World;17.08.2023;
News&Trends;CV;Agriculture;US;Tractor Sales Growth Softens in U.S., Canada (aem.org);17.08.2023;
Competitor&Partnership;Automotive;Material;Faurecia;Post | LinkedIn;16.08.2023;
News&Trends;Automotive;Strategy;China;Chinese automakers' big plans for Brazil - Just Auto (just-auto.com);16.08.2023;
News&Trends;Automotive/CV;Mobility News Alert;Frost&Sullivan Mobility Alert ;Mobility | News Alert (fs-moads.com);16.08.2023;
News&Trends;Automotive/CV;Outlook;Week Ahead;Week Ahead Economic Preview: Week of 14 August 2023 | S&P Global (spglobal.com);16.08.2023;
Customer;Automotive;Agriculture;BMW ;?????????????BMW 5????? (qq.com);11.08.2023;
Customer;Automotive;New model;Cadillac;Cadillac introduces the 2025 Escalade IQ with pillar-to-pillar display | Automotive Interiors World;11.08.2023;
Customer;Automotive;Sustainability;Bentley;Post | LinkedIn;11.08.2023;
News&Trends;CV;Truck;China;Heavy-duty trucks in China: The road ahead | McKinsey;11.08.2023;
News&Trends;Automotive/CV;Energy transition;Europe;Five key action areas to put Europe’s energy transition on a more orderly path | McKinsey;11.08.2023;
News&Trends;CV;Construction;Autonomy;Is construction ready for driverless vehicles? - International Construction (international-construction.com);11.08.2023;
Competitor&Partnership;Automotive;Strategy;Toyota Boshoku;Toyota Boshoku Invests in Cuebus, a provider of urban three-dimensional robot warehouse systems|News|Toyota Boshoku Corporation (toyota-boshoku.com);10.08.2023;
Customer;CV;Truck;Iveco;Vom DAILY bis zum T-WAY – IVECO zeigt auch 2023 sein komplettes Produktportfolio auf der NUFAM;10.08.2023;
Customer;Automotive;Concept;Stellantis;Opel Experimental Gives Clear Vision of Future of the Brand | Opel | Stellantis;10.08.2023;
News&Trends;Automotive/CV;Raw materials;China;Gallium and germanium: What China’s new move in microchip war means for world - BBC News;10.08.2023;
News&Trends;Automotive;Production;Europe;New ACEA figures: Interactive map - Automobile assembly and production plants in Europe;10.08.2023;
Competitor&Partnership;Automotive;Strategy;Faurecia Clarion;Faurecia Clarion to strengthen competitiveness of Tohoku Office - MarkLines Automotive Industry Portal;09.08.2023;
Competitor&Partnership;CV;Offroad;Be-ge;Be-Ge Seating launches electric powered memory – Driver Seats | Passenger Seats | Office Chairs / 24h Chairs | Be-Ge Seating Division;09.08.2023;
Competitor&Partnership;Automotive;Partnership;Motherson;Post | LinkedIn;09.08.2023;
Customer;CV;Construction;Caterpillar;Strong increase in Q2 sales for Caterpillar driven by one region - Construction Europe (construction-europe.com);09.08.2023;
News&Trends;Automotive/CV;Disruption;War in Ukraine;War in Ukraine: Twelve disruptions changing the world—update | McKinsey;09.08.2023;
News&Trends;Automotive/CV;Outlook;Global trade;Global trade downturn accelerates in July | S&P Global (spglobal.com);09.08.2023;
News&Trends;Automotive;Outlook;Electric mobility;Newsroom | Roland Berger;09.08.2023;EV Charging Index 2023 | Roland Berger
News&Trends;Automotive;Magazine;Automotive World;Automotive World Magazine -August 2023;09.08.2023;
Competitor&Partnership;Automotive;Glove box;Hyundai Mobis;Supplier announces EV-specific glovebox deal - Just Auto (just-auto.com);08.08.2023;
Customer;Automotive;Strategy;VW;VW rumoured to be negotiating with Leapmotor - electrive.com;08.08.2023;
Customer;Automotive;China;Ford;Ford is reorganising its e-mobility approach in China - electrive.com;08.08.2023;
Customer;Automotive;ADAS;GM;General Motors launches program to improve consumer confidence in ADAS | Automotive Interiors World;08.08.2023;
Customer;CV;Truck/Bus;Volta Trucks;Volta Trucks sets industry-leading standards for Direct Vision | Automotive World;08.08.2023;
News&Trends;Automotive;Awards;Lightweight;DOE awards $2 million for R&D projects to accelerate advancements in lightweighting of passenger vehicles - Green Car Congress;08.08.2023;
Competitor&Partnership;Automotive;Product;Fischer Automotive;fischer Automotive, Germany provides cupholder for Mercedes-Benz GLE - MarkLines Automotive Industry Portal;07.08.2023;
News&Trends;Automotive;Electrification;Buyers demand;Electric-vehicle buyers demand new experiences | McKinsey;07.08.2023;
Competitor&Partnership;Automotive;Concept;Pininfarina;Luxury Pura Vision design concept unveiled by Automobili Pininfarina, with wine cooler and panoramic glass roof | Automotive Interiors World;04.08.2023;
Customer;Automotive;Outlook;Fisker;Fisker Inc. Announces Second Quarter 2023 Financial Results* | Business Wire;04.08.2023;
News&Trends;Automotive/CV;Concepts;Interior;DVN Newsletter (drivingvisionnews.com);04.08.2023;
Competitor&Partnership;Automotive;Outlook;Lear;PowerPoint Presentation (lear.com);02.08.2023;Lear Reports Improved Second Quarter 2023 Results | Lear Corporation
Competitor&Partnership;Automotive;Outlook;Adient;ADNT Q3FY23 Earnings Presentation (adient.com);02.08.2023;q3-2023-press-release.pdf (adient.com)
Competitor&Partnership;Automotive;Strategy;Forvia;FORVIA closes sale of “SAS” Cockpit Modules division to the MOTHERSON group | Faurecia;02.08.2023;
Competitor&Partnership;Automotive;Launch;Marelli;Marelli News - Marelli wins Altair Enlighten Award with its “Lightweight Urethane for Interior Products” Marelli;02.08.2023;
Competitor&Partnership;Automotive;Strategy;Forvia;Forvia closing Highland Park plant, laying off 511 (detroitnews.com);01.08.2023;
Competitor&Partnership;Automotive/CV;Strategy;CVG;Commercial Vehicle Group opens its first plant in Chihuahua - MEXICONOW (mexico-now.com);01.08.2023;
Competitor&Partnership;Automotive;Footprint;Faurecia;Post | Feed | LinkedIn;01.08.2023;
Competitor&Partnership;Automotive;Award;Faurecia;FORVIA recognized by global customers with numerous Supplier Quality awards in H1 | FORVIA, inspiring mobility;01.08.2023;
Customer;Automotive;Electrification;Nissan;Nissan to invest up to €600 million in Ampere - electrive.com;01.08.2023;
Customer;Automotive;Sustainability;Hyundai ;Hyundai Motor and Kia to introduce blockchain-based Carbon Emission Monitoring System to foster a sustainable value chain | Automotive World;01.08.2023;
Customer;Automotive;Strategy;Mercedes-Benz;Mercedes-Benz trains more than 600 data and AI specialists worldwide in 2023 | Automotive World;01.08.2023;
Customer;Automotive;Strategy;Stellantis;Stellantis joins Forvia and Michelin as equal shareholder in hydrogen company Symbio - Green Car Congress;01.08.2023;
Customer;Automotive;Strategy;Mahindra Group;Mahindra Group to enable US companies to expand their global manufacturing footprint | Automotive World;01.08.2023;
Customer;CV;Agriculture;AGCO;AGCO Reports Record Net Sales and Operating Margin in Q2 2023 (farm-equipment.com);01.08.2023;
Customer;Automotive;Launch;Mercedes-Benz;On the road to more luxury in private life, more premium in business - Mercedes-Benz Media;01.08.2023;
Customer;CV;Truck/Bus;Iveco;IVECO to produce and market its Heavy-Duty Battery Electric Vehicle and Heavy-Duty Fuel Cell Electric Vehicle under its own brand;01.08.2023;
Customer;Automotive;Strategy;Mercedes-Benz;Mercedes-Benz Q2 performance underpinned by strong sales of Top-End cars and premium vans - Mercedes-Benz Media;01.08.2023;
Customer;CV;Truck/Bus;Daimler Truck;Ergebnisse 2. Quartal | Daimler Truck;01.08.2023;
News&Trends;Automotive;Connected vehicles;China;China Issues Guidelines on Standardisation of Intelligent Connected Vehicles (usnews.com);01.08.2023;
News&Trends;CV;Bus;Next Modular;Next Modular Vehicles, the Italian modular e-bus gets a €2.5 million investment from UAE (sustainable-bus.com);01.08.2023;
News&Trends;Automotive/CV;Outlook;Week Ahead;Week Ahead Economic Preview: Week of 31 July 2023 | S&P Global (spglobal.com);31.07.2023;
Competitor&Partnership;Automotive;Strategy;Faurecia;https://www.linkedin.com/posts/faurecia_forvia-automobile-automotiveindustry-activity-7090601790521389057-axGN?utm_source=share&utm_medium=member_desktop;28.07.2023;
News&Trends;Automotive/CV;Economy;Inflation;Connect (ihsmarkit.com);28.07.2023;
Customer;Automotive;Outlook;Stellantis;Connect (ihsmarkit.com);27.07.2023;
Customer;CV;Construction;Komatsu;Komatsu says new electric mini will work ‘full shift’ - Construction Europe (construction-europe.com);27.07.2023;
News&Trends;CV;Truck/Bus;ACEA;New commercial vehicle registrations: vans +11.6%, trucks +20%, buses +15% in the first half of 2023 (acea.auto);27.07.2023;
Competitor&Partnership;CV;Strategy;Aunde Group;???????? ?????????? ? ?????????? ?????? ????? ???????? ? ????????? ????? - ???? ???????? (gradleskovac.org);26.07.2023;City of Leskovac, Serbia and Aunde sign MoU for new plant in Serbia - MarkLines Automotive Industry Portal
Competitor&Partnership;Automotive;Strategy;Faurecia;IAA Mobility: FORVIA showcases its technology at Europe’s largest automotive trade show | Faurecia;26.07.2023;
Customer;Automotive;Strategy;VW;Volkswagen steigt bei Autohersteller Xpeng ein (vogel.de);26.07.2023;Connect (ihsmarkit.com)
Customer;Automotive;Launch;Mercedes-Benz;A bridge between tradition and digitalisation: the new E-Class | Mercedes-Benz Media;26.07.2023;
Customer;Automotive;Launch;Audi;Development of the Audi Q6 e-tron series on the new Premium Platform Electric in its final stages | Audi MediaCenter (audi-mediacenter.com);26.07.2023;
Customer;Automotive;Strategy;Mercedes-Benz;Mercedes-Benz trains more than 600 data and AI specialists worldwide in 2023 - Mercedes-Benz Media;26.07.2023;
Customer;Automotive;Outlook;JLR;JLR PROFITABILITY CONTINUES TO IMPROVE WITH ITS BEST Q1 CASHFLOW ON RECORD | JLR Media Newsroom (jaguarlandrover.com);26.07.2023;
Competitor&Partnership;CV;Railway;Compin Fainsa;Post | LinkedIn;24.07.2023;
Competitor&Partnership;Automotive;Technology;Yanfeng;Safeguarding the journey of future mobility | Yanfeng Corporate Website;24.07.2023;Post | LinkedIn
Competitor&Partnership;Automotive;Strategy;Dr.Schneider;German supplier Dr. Schneider bought by Indian supplier | Automotive News Europe (autonews.com);24.07.2023;
News&Trends;Automotive/CV;Outlook;Week Ahead;(1) New Messages! (spglobal.com);24.07.2023;
News&Trends;Automotive/CV;Mobility News Alert;Frost&Sullivan Mobility Alert ;Mobility | News Alert (fs-moads.com);24.07.2023;
Competitor&Partnership;Automotive;Strategy;Faurecia;FORVIA and BYD to rev up their partnership with the construction of new seat assembly plant in Thailand | Faurecia;21.07.2023;
Competitor&Partnership;Automotive;Strategy;Yanfeng;Yanfeng expands its Technical Center in Slovakia | Automotive World;21.07.2023;
Customer;Automotive;Strategy;SAIC;China's SAIC doubles down on European expansion with EV plant plan | Reuters;21.07.2023;
Customer;Automotive;Strategy;FAW;volkswagengroupchina.com.cn/zh-cn/news/Detail?ArticleID=11D5910C5F984DA2834CDF23DDE90A07;20.07.2023;
Customer;CV;Agriculture;Steyr;Steyr releases full range of new CVT tractors | Industrial Vehicle Technology International (ivtinternational.com);20.07.2023;
Customer;CV;Construction;Volvo CE;Record Q2 earnings posted by Volvo CE | Industrial Vehicle Technology International (ivtinternational.com);20.07.2023;
Customer;Automotive/CV;Outlook;Volvo Group;Volvo Group – the second quarter 2023;19.07.2023;
News&Trends;CV;Material Handling;Supply Chain;Supply Chains Stabilizing Despite Challenges | Material Handling and Logistics (mhlnews.com);19.07.2023;
News&Trends;Automotive;Registrations;ACEA;New car registrations: +17.8% in June, battery electric 15.1% market share (acea.auto);19.07.2023;
News&Trends;Automotive/CV;Outlook;PMI;Inflation and growth signals: what to watch for in the upcoming July PMI surveys | S&P Global (spglobal.com);19.07.2023;
Customer;Automotive;Electrification;VW;Volkswagen Group increases all-electric deliveries by around 50 percent in the first half year | Automotive World;18.07.2023;
Customer;Automotive;Strategy;Audi;Audi is negotiating with SAIC over platform use - electrive.com;18.07.2023;
News&Trends;CV;Truck;Forecast;Global truck market outlook improves over first half of 2023 | LMC AUTOMOTIVE (lmc-auto.com);18.07.2023;
Competitor&Partnership;Automotive;Strategy;Motherson;Samvardhana Motherson, India completes 51% acquisition of SIAAIPL - MarkLines Automotive Industry Portal;17.07.2023;
Customer;CV;Autonomy;VW;Volkswagen Commercial Vehicles conducts its first autonomous driving tests with passengers in Munich - VW Press UK Media Site;17.07.2023;
Customer;Automotive;Europe Sales;Toyota ;Toyota Motor Europe’s sales grow to 573,976;17.07.2023;
Competitor&Partnership;Automotive;Sustainability;Antolin;Antolin successfully validates a recycled marine plastic fabric with SEAQUAL® YARN for car interiors | Antolin;14.07.2023;
Competitor&Partnership;Automotive;Award;IAC;Post | LinkedIn;13.07.2023;
Competitor&Partnership;CV;Offroad;Rafi;Post | LinkedIn;13.07.2023;
Customer;CV;Truck;Mack;Medium-Duty Mack® MD Electric Now Available for Order | Mack Trucks;13.07.2023;
Customer;Automotive;Sustainability;Skoda;Škoda Auto on the road to carbon neutrality: ŠKO-ENERGO power plant to transition to 100% biomass - Škoda Storyboard (skoda-storyboard.com);13.07.2023;
News&Trends;Automotive;Analysis;Semiconductor;The semiconductor shortage is – mostly – over for the auto industry | S&P Global (spglobal.com);13.07.2023;
News&Trends;Automotive;Circular economy;Europe;End-of-life vehicles: EU must balance conflicting waste, product, and chemical objectives (acea.auto);13.07.2023;
Competitor&Partnership;Automotive;Material;Freudenberg;Benchmark For New Elastomer Compounds (fst.com);12.07.2023;
Customer;CV;Construction;Volvo CE;Volvo Construction Equipment continues renewable energy shift with solar power installation (volvoce.com);12.07.2023;
Customer;Automotive;Sustainability;Audi;Recovering high-tech metals from electronic waste: The Audi Environmental Foundation funds research into new recycling process | Audi MediaCenter (audi-mediacenter.com);12.07.2023;
Customer;CV;Truck/Bus;Daimler Truck;Capital Market Day 2023 - Transforming for sustainable growth: Increased guidance 2023, share buyback program and updated dividend payout ratio of 40-60%, technology outlook and ambition of over 12% return on sales by 2030 - Daimler Truck Media Site;12.07.2023;
Customer;CV;Construction;HD Hyundai;Major OEM opens new business entity to expand growth in Asia - International Construction (international-construction.com);12.07.2023;
Customer;Automotive;Strategy;Stellantis;First Glimpse of Stunning New Opel Experimental | Opel | Stellantis;12.07.2023;
News&Trends;Automotive;Electrification;Europe;MEPs adopt new rules for more charging stations and greener maritime fuels | News | European Parliament (europa.eu);12.07.2023;
News&Trends;Automotive;Semiconductor Shortage;Europe;Semiconductors: MEPs adopt legislation to boost EU chips industry | News | European Parliament (europa.eu);12.07.2023;
Competitor&Partnership;Automotive;Door panel;Antolin;Antolin features its first foamed door panel in the new Renault Espace | Antolin;11.07.2023;
Customer;Automotive;Outlook;Mercedes-Benz;Mercedes-Benz Q2 sales: Strong EV and Top-End segment growth - Mercedes-Benz Media;11.07.2023;
Customer;Automotive;Strategy;Geely;Renault Group et Geely signent un accord de coentreprise pour créer le leader des groupes motopropulseurs - Site media global de Renault Group;11.07.2023;
Customer;CV;Truck/Bus;Daimler Truck;Daimler Truck increases full-year guidance for 2023 and announces share buyback program - Daimler Truck Media Site;11.07.2023;
News&Trends;Automotive/CV;Economy;Europe;(1) New Messages! (spglobal.com);11.07.2023;
News&Trends;Automotive/CV;Gas;Europe;How gas buyers’ needs will shape the market | McKinsey;11.07.2023;
News&Trends;CV;NEV;China;China, new energy commercial vehicle registrations keep growing (sustainabletruckvan.com);11.07.2023;
News&Trends;CV;Construction;Outlook;CE Barometer for May: Almost half expect business levels to be higher in a year - Construction Europe (construction-europe.com);11.07.2023;
Competitor&Partnership;CV;Offroad;Metallux;Metallux offers specialist joystick portfolio | Industrial Vehicle Technology International (ivtinternational.com);10.07.2023;
Customer;Automotive;Outlook;BMW;News (bmwgroup.com);10.07.2023;
Customer;CV;Construction;Sany;Sany launches two-tonne electric excavator | Industrial Vehicle Technology International (ivtinternational.com);10.07.2023;
Customer;Automotive;Technology;Mercedes-Benz;"Mercedes-Benz introduces ""Automatic Lane Change"" function for European market - Mercedes-Benz Media";10.07.2023;
Customer;CV;Agriculture;John Deere;John Deere moves further in the field of autonomy - Future Farming;07.07.2023;
News&Trends;CV;Truck;Forecast;(1) New Messages! (spglobal.com);07.07.2023;
News&Trends;Automotive/CV;Outlook;Week Ahead;Week Ahead Economic Preview: Week of 10 July 2023 | S&P Global (spglobal.com);07.07.2023;
News&Trends;Automotive/CV;Outlook;Labour costs;Labour costs keep inflation elevated worldwide in June | S&P Global (spglobal.com);07.07.2023;
News&Trends;Automotive/CV;Supply chain;Critical materials;Enhancing cooperation with Japan on critical raw materials supply chains through a new Administrative Arrangement (europa.eu);07.07.2023;
News&Trends;Automotive/CV;Mobility News Alert;Hyperloop;https://www.rolandberger.com/en/Insights/Publications/Hyperloop-Mobility-revolution-or-pipe-dream.html;06.07.2023;
News&Trends;Automotive;Incoming orders;VDA;https://www.vda.de/de/presse/Pressemeldungen/2023/230705_PM_Deutscher_Pkw-Markt_nach_erstem_-Halbjahr_noch_24_Prozent_unter_Vorkrisenniveau;06.07.2023;
News&Trends;Automotive;Export;China;https://europe.autonews.com/automakers/chinese-ev-imports-threaten-europe-car-company-profits;06.07.2023;2023-05-09-Automobile.pdf (allianz.com)
Competitor&Partnership;Automotive;Technology;Antolin;Antolin launches the GENIUS project to develop Artificial Intelligence-based systems that recognise the emotional and cognitive states of vehicle users | Antolin;05.07.2023;
Competitor&Partnership;Automotive;Launch;Harman Kardon;https://www.linkedin.com/posts/harman-international_harmankardon-caraudio-renault-activity-7081671619881881600-nMVL/?utm_source=share&utm_medium=member_desktop;05.07.2023;
Customer;CV;Bus;Daimler Truck;https://media.daimlertruck.com/marsMediaSite/en/instance/ko.xhtml?oid=52286417&relId=60822&resultInfoTypeId=40627&ls=L3NlYXJjaHJlc3VsdC9zZWFyY2hyZXN1bHQueGh0bWw_c2VhcmNoVHlwZT1mbGV4JnNlYXJjaFN0cmluZz1OTVNfRmxleFNlYXJjaF9DdXJyZW50TmV3cyZyZXN1bHRJbmZvVHlwZUlkPTQwNjMwJmZsZXhJbmZvVHlwZXM9NDA2MjYlMkM0MDYzMA!!&rs=0#toRelation;05.07.2023;
Customer;Automotive;Launch;Mercedes-Benz;https://media.mercedes-benz.com/article/46a24e77-422c-42c6-a483-b7ddaf60a059;05.07.2023;
Customer;Automotive;Strategy;VW;https://www.volkswagen-newsroom.com/en/press-releases/volkswagen-brand-invests-one-billion-euros-for-growth-in-south-america-17431;05.07.2023;
Competitor&Partnership;Automotive;Seating;Faurecia;Post | LinkedIn;04.07.2023;
Customer;Automotive;Strategy;Porsche;Porsche Launches New Self-Driving Software Division (iotworldtoday.com);04.07.2023;
Customer;Automotive;Strategy;Aston Martin;Aston Martin to create industry leading ultra-luxury high performance electric vehicles | Automotive World;04.07.2023;
Customer;CV;Truck/Bus;Scania;Scania places first green steel order in further step towards decarbonised supply chain | Automotive World;04.07.2023;
News&Trends;Automotive;Export;China;China exported more than 3 million vehicles in ‘22 … and is soaring even higher this year | S&P Global (spglobal.com);04.07.2023;
News&Trends;Automotive;NEV;China;China extends NEV incentives until 2027 - Just Auto (just-auto.com);04.07.2023;
News&Trends;CV;Construction;China;New contracts growth remains steady for China’s biggest contractor - International Construction (international-construction.com);04.07.2023;
News&Trends;CV;Construction;Europe;Construction activity slows down in Europe amid costs and labour shortages - Construction Europe (construction-europe.com);04.07.2023;
Customer;Automotive;Strategy;VW;Standortsymposium 2023: Werk Braunschweig bündelt weitere Batteriekompetenz in „Powerhall 7“ | Volkswagen Newsroom (volkswagen-newsroom.com);03.07.2023;
Customer;Automotive;Strategy;Ford;Die IG Metall Völklingen begrüßt die erzielten Fortschritte um eine industrielle Investorenlösung bei Ford in Saarlouis :: IG Metall Völklingen (igmetall-voelklingen.de);03.07.2023;
Customer;CV;Truck/Bus;Iveco;Iveco Group’s acquisition of the full control of Nikola Iveco Europe | Iveco Group;03.07.2023;
Competitor&Partnership;CV;Bus;Isri;New ISRI seats build on innovation | News (busnews.com.au);30.06.2023;
Competitor&Partnership;Automotive;Partnership;Faurecia;Leapmotor and Faurecia establish auto parts JV in Jinhua, Zhejiang - MarkLines Automotive Industry Portal;30.06.2023;
